ticker,roeq,acc,agr,mom12m,mom1m,price,mve,size,composite
CVGI,0.5860688550840673,0.9407526020816653,0.5788630904723779,0.9679743795036029,0.5628502802241794,6.94,5.4450117456988405,1955.0,0.7273018414731787
TBBK,0.8126501200960768,0.77662129703763,0.522017614091273,0.8590872698158527,0.6653322658126501,28.67,7.380879035564116,1161.0,0.7271417133706966
NVEC,0.9383506805444356,0.8542834267413931,0.1200960768614892,0.8742994395516414,0.844675740592474,68.0,5.794536837924666,1847.0,0.7263410728582868
CMBM,0.9183346677341874,0.8598879103282626,0.6108887109687751,0.8614891913530824,0.36509207365892715,21.2,6.351060221557692,1630.0,0.7231385108086469
PEBK,0.8166533226581265,0.5916733386709367,0.6429143314651722,0.6949559647718174,0.8678943154523618,32.05,5.196838197598183,2015.0,0.7228182546036829
CLFD,0.955964771817454,0.9879903923138511,0.9175340272217775,0.7237790232185749,0.02802241793434748,93.15,7.160224595678174,1277.0,0.722658126501201
VABK,0.7854283426741393,0.6965572457966374,0.9527622097678142,0.37630104083266613,0.7974379503602882,35.9,5.253320000617301,2002.0,0.7216973578863091
OCN,0.8975180144115292,0.8759007205764612,0.6325060048038431,0.899119295436349,0.3034427542033627,31.58,5.479388141440339,1944.0,0.7216973578863091
SAL,0.6861489191353083,0.7093674939951962,0.688550840672538,0.8126501200960768,0.7077662129703763,30.6,5.176149732573829,2018.0,0.7208967173738992
MLKN,0.49159327461969576,0.6573258606885508,0.9463570856685348,0.6597277822257807,0.8478783026421137,21.67,7.400803822645447,1153.0,0.7205764611689351
BSVN,0.8839071257005604,0.611689351481185,0.8070456365092074,0.7085668534827863,0.5916733386709367,26.31,5.4798052425934145,1942.5,0.7205764611689351
ETD,0.9055244195356285,0.8839071257005604,0.40512409927942356,0.7830264211369096,0.6132906325060048,27.48,6.54606779321986,1550.0,0.7181745396317053
AMOT,0.6741393114491593,0.6581265012009607,0.8182546036829463,0.7878302642113691,0.6509207365892714,36.22,6.355239228161937,1629.0,0.7178542834267414
BOOT,0.8262610088070457,0.932746196957566,0.7830264211369096,0.46837469975980783,0.578062449959968,63.0,7.5380159064868915,1086.0,0.7176941553242594
CPRX,0.9367493995196157,0.14411529223378702,0.7429943955164131,0.8710968775020016,0.8911128903122498,18.83,7.580546679285008,1071.0,0.7172137710168134
CPHC,0.7902321857485989,0.489191353082466,0.7141713370696557,0.7598078462770216,0.8318654923939152,28.61,4.938781190328273,2077.0,0.7170536429143314
APEI,0.28502802241793435,0.7622097678142514,0.9311449159327462,0.9455564451561249,0.6549239391513211,13.15,5.515040350059324,1923.0,0.7157726180944757
CARG,0.7950360288230585,0.8142514011208967,0.923138510808647,0.11048839071257005,0.9359487590072058,14.4,7.445826351638323,1134.0,0.7157726180944756
AVEO,0.12489991993594876,0.8614891913530824,0.8871096877502002,0.9799839871897518,0.7133706965572458,14.96,6.254021100779027,1674.0,0.7133706965572458
BOOM,0.5012009607686149,0.844675740592474,0.9799839871897518,0.6325060048038431,0.5996797437950361,18.28,5.877735781779639,1815.0,0.711609287429944
MYE,0.8726981585268214,0.466773418734988,0.722177742193755,0.8895116092874299,0.6052842273819056,22.05,6.690593799345475,1485.0,0.71128903122498
SAFE,0.6693354683746997,0.811048839071257,0.8406725380304243,0.41793434747798236,0.8126501200960768,29.35,7.5094448490532475,1102.0,0.7103282626100881
HZO,0.8350680544435548,0.9359487590072058,0.8158526821457166,0.4307445956765412,0.5308246597277823,31.82,6.538284531097348,1553.0,0.7096877502001602
ORMP,0.200160128102482,0.5452361889511609,0.9727782225780625,0.8414731785428343,0.9863891112890312,13.1,6.239105570022579,1682.0,0.7092073658927143
PINE,0.7942353883106485,0.5140112089671738,0.9295436349079264,0.6164931945556446,0.6821457165732586,18.98,5.42141956368202,1958.0,0.7072858286629304
OEC,0.9191353082465973,0.5988791032826261,0.6765412329863891,0.8438751000800641,0.49719775820656525,17.64,6.978027331967469,1357.0,0.7071257005604484
LMB,0.7694155324259407,0.9503602882305845,0.2962369895916733,0.9727782225780625,0.5460368294635709,10.72,4.721173861744397,2115.0,0.7069655724579664
ACMR,0.6645316253002402,0.9567654123298639,0.9791833466773419,0.02802241793434748,0.9015212169735789,9.48,6.334522195087529,1636.0,0.7060048038430745
TKNO,0.0688550840672538,0.6261008807045636,0.9655724579663731,0.9263410728582866,0.9407526020816653,5.61,5.061328408411774,2050.5,0.7055244195356285
DHIL,0.900720576461169,0.967173738991193,0.5140112089671738,0.41232986389111287,0.7205764611689351,181.0,6.3024358087877115,1653.0,0.7029623698959167
